"","InactivationTemp","InactivationTimeHours","ReproductionTimeMinutes","VirusTiter","PhageType","Surface"
"1",4,0,0,5e+05,"Phix","Control"
"2",4,0,30,1.4e+07,"Phix","Control"
"3",4,0,40,23500000,"Phix","Control"
"4",4,0,50,3e+07,"Phix","Control"
"5",4,0,60,37500000,"Phix","Control"
"6",4,2,0,1500000,"Phix","Control"
"7",4,2,30,9e+06,"Phix","Control"
"8",4,2,40,13500000,"Phix","Control"
"9",4,2,50,2.2e+07,"Phix","Control"
"10",4,2,60,2.6e+07,"Phix","Control"
"11",4,4,0,5e+05,"Phix","Control"
"12",4,4,30,1500000,"Phix","Control"
"13",4,4,40,1.7e+07,"Phix","Control"
"14",4,4,50,26500000,"Phix","Control"
"15",4,4,60,4e+07,"Phix","Control"
"16",4,6,0,1e+06,"Phix","Control"
"17",4,6,30,6500000,"Phix","Control"
"18",4,6,40,9e+06,"Phix","Control"
"19",4,6,50,14500000,"Phix","Control"
"20",4,6,60,21500000,"Phix","Control"
"21",4,8,0,1e+06,"Phix","Control"
"22",4,8,30,3500000,"Phix","Control"
"23",4,8,40,1.4e+07,"Phix","Control"
"24",4,8,50,23500000,"Phix","Control"
"25",4,8,60,39500000,"Phix","Control"
"26",4,0,0,5e+05,"Phix","Copper"
"27",4,0,30,5500000,"Phix","Copper"
"28",4,0,40,1.7e+07,"Phix","Copper"
"29",4,0,50,3.1e+07,"Phix","Copper"
"30",4,0,60,4.1e+07,"Phix","Copper"
"31",4,2,0,1e+06,"Phix","Copper"
"32",4,2,30,1e+06,"Phix","Copper"
"33",4,2,40,9e+06,"Phix","Copper"
"34",4,2,50,1.9e+07,"Phix","Copper"
"35",4,2,60,2.4e+07,"Phix","Copper"
"36",4,4,0,0,"Phix","Copper"
"37",4,4,30,5e+05,"Phix","Copper"
"38",4,4,40,1e+07,"Phix","Copper"
"39",4,4,50,16500000,"Phix","Copper"
"40",4,4,60,2.5e+07,"Phix","Copper"
"41",4,6,0,0,"Phix","Copper"
"42",4,6,30,0,"Phix","Copper"
"43",4,6,40,5e+06,"Phix","Copper"
"44",4,6,50,7e+06,"Phix","Copper"
"45",4,6,60,1e+07,"Phix","Copper"
"46",4,8,0,0,"Phix","Copper"
"47",4,8,30,0,"Phix","Copper"
"48",4,8,40,5e+05,"Phix","Copper"
"49",4,8,50,9e+06,"Phix","Copper"
"50",4,8,60,12500000,"Phix","Copper"
"51",37,0,0,1e+06,"Phix","Control"
"52",37,0,30,10500000,"Phix","Control"
"53",37,0,40,15500000,"Phix","Control"
"54",37,0,50,2.8e+07,"Phix","Control"
"55",37,0,60,36500000,"Phix","Control"
"56",37,2,0,0,"Phix","Control"
"57",37,2,30,3e+06,"Phix","Control"
"58",37,2,40,1.2e+07,"Phix","Control"
"59",37,2,50,20500000,"Phix","Control"
"60",37,2,60,34500000,"Phix","Control"
"61",37,4,0,5e+05,"Phix","Control"
"62",37,4,30,8e+06,"Phix","Control"
"63",37,4,40,2.9e+07,"Phix","Control"
"64",37,4,50,3.3e+07,"Phix","Control"
"65",37,4,60,3.5e+07,"Phix","Control"
"66",37,6,0,5e+05,"Phix","Control"
"67",37,6,30,2e+06,"Phix","Control"
"68",37,6,40,3.2e+07,"Phix","Control"
"69",37,6,50,3.7e+07,"Phix","Control"
"70",37,6,60,39500000,"Phix","Control"
"71",37,8,0,2500000,"Phix","Control"
"72",37,8,30,4500000,"Phix","Control"
"73",37,8,40,2.1e+07,"Phix","Control"
"74",37,8,50,4.1e+07,"Phix","Control"
"75",37,8,60,4.7e+07,"Phix","Control"
"76",37,0,0,1500000,"Phix","Copper"
"77",37,0,30,10500000,"Phix","Copper"
"78",37,0,40,14500000,"Phix","Copper"
"79",37,0,50,2e+07,"Phix","Copper"
"80",37,0,60,3.4e+07,"Phix","Copper"
"81",37,2,0,0,"Phix","Copper"
"82",37,2,30,0,"Phix","Copper"
"83",37,2,40,0,"Phix","Copper"
"84",37,2,50,0,"Phix","Copper"
"85",37,2,60,0,"Phix","Copper"
"86",37,4,0,0,"Phix","Copper"
"87",37,4,30,0,"Phix","Copper"
"88",37,4,40,0,"Phix","Copper"
"89",37,4,50,0,"Phix","Copper"
"90",37,4,60,0,"Phix","Copper"
"91",37,6,0,0,"Phix","Copper"
"92",37,6,30,0,"Phix","Copper"
"93",37,6,40,0,"Phix","Copper"
"94",37,6,50,0,"Phix","Copper"
"95",37,6,60,0,"Phix","Copper"
"96",37,8,0,0,"Phix","Copper"
"97",37,8,30,0,"Phix","Copper"
"98",37,8,40,0,"Phix","Copper"
"99",37,8,50,0,"Phix","Copper"
"100",37,8,60,0,"Phix","Copper"
"101",4,0,0,0,"T4","Control"
"102",4,0,30,8.9e+09,"T4","Control"
"103",4,0,40,9.6e+09,"T4","Control"
"104",4,0,50,3.03e+10,"T4","Control"
"105",4,0,60,4.05e+10,"T4","Control"
"106",4,2,0,3.5e+08,"T4","Control"
"107",4,2,30,5.45e+09,"T4","Control"
"108",4,2,40,8.6e+09,"T4","Control"
"109",4,2,50,3.05e+10,"T4","Control"
"110",4,2,60,4.01e+10,"T4","Control"
"111",4,4,0,6.5e+08,"T4","Control"
"112",4,4,30,7.95e+09,"T4","Control"
"113",4,4,40,1.09e+10,"T4","Control"
"114",4,4,50,2.7e+10,"T4","Control"
"115",4,4,60,4.06e+10,"T4","Control"
"116",4,6,0,7e+08,"T4","Control"
"117",4,6,30,7.35e+09,"T4","Control"
"118",4,6,40,1.01e+10,"T4","Control"
"119",4,6,50,2.72e+10,"T4","Control"
"120",4,6,60,3.9e+10,"T4","Control"
"121",4,8,0,5e+08,"T4","Control"
"122",4,8,30,7e+09,"T4","Control"
"123",4,8,40,1.26e+10,"T4","Control"
"124",4,8,50,3.05e+10,"T4","Control"
"125",4,8,60,4.71e+10,"T4","Control"
"126",4,0,0,0,"T4","Copper"
"127",4,0,30,7.95e+09,"T4","Copper"
"128",4,0,40,1.04e+10,"T4","Copper"
"129",4,0,50,2.85e+10,"T4","Copper"
"130",4,0,60,3.93e+10,"T4","Copper"
"131",4,2,0,5e+07,"T4","Copper"
"132",4,2,30,9.5e+08,"T4","Copper"
"133",4,2,40,5.5e+09,"T4","Copper"
"134",4,2,50,7.05e+09,"T4","Copper"
"135",4,2,60,1.09e+10,"T4","Copper"
"136",4,4,0,1e+08,"T4","Copper"
"137",4,4,30,4.1e+09,"T4","Copper"
"138",4,4,40,6.4e+09,"T4","Copper"
"139",4,4,50,8.3e+09,"T4","Copper"
"140",4,4,60,1.11e+10,"T4","Copper"
"141",4,6,0,1.5e+08,"T4","Copper"
"142",4,6,30,6e+08,"T4","Copper"
"143",4,6,40,4.1e+09,"T4","Copper"
"144",4,6,50,5.1e+09,"T4","Copper"
"145",4,6,60,6.8e+09,"T4","Copper"
"146",4,8,0,5e+07,"T4","Copper"
"147",4,8,30,6e+08,"T4","Copper"
"148",4,8,40,5.65e+09,"T4","Copper"
"149",4,8,50,6.55e+09,"T4","Copper"
"150",4,8,60,8.75e+09,"T4","Copper"
"151",37,0,0,0,"T4","Control"
"152",37,0,30,7.95e+09,"T4","Control"
"153",37,0,40,1.04e+10,"T4","Control"
"154",37,0,50,2.85e+10,"T4","Control"
"155",37,0,60,3.93e+10,"T4","Control"
"156",37,2,0,2e+08,"T4","Control"
"157",37,2,30,7e+08,"T4","Control"
"158",37,2,40,6.2e+09,"T4","Control"
"159",37,2,50,2.65e+10,"T4","Control"
"160",37,2,60,3.43e+10,"T4","Control"
"161",37,4,0,0,"T4","Control"
"162",37,4,30,3e+09,"T4","Control"
"163",37,4,40,9.55e+09,"T4","Control"
"164",37,4,50,2.18e+10,"T4","Control"
"165",37,4,60,3.35e+10,"T4","Control"
"166",37,6,0,0,"T4","Control"
"167",37,6,30,2.45e+09,"T4","Control"
"168",37,6,40,5.8e+09,"T4","Control"
"169",37,6,50,2.78e+10,"T4","Control"
"170",37,6,60,3.95e+10,"T4","Control"
"171",37,8,0,1.2e+09,"T4","Control"
"172",37,8,30,7.4e+09,"T4","Control"
"173",37,8,40,1.54e+10,"T4","Control"
"174",37,8,50,3.08e+10,"T4","Control"
"175",37,8,60,4.11e+10,"T4","Control"
"176",37,0,0,0,"T4","Copper"
"177",37,0,30,6.45e+09,"T4","Copper"
"178",37,0,40,1.02e+10,"T4","Copper"
"179",37,0,50,2.38e+10,"T4","Copper"
"180",37,0,60,3.86e+10,"T4","Copper"
"181",37,2,0,0,"T4","Copper"
"182",37,2,30,0,"T4","Copper"
"183",37,2,40,0,"T4","Copper"
"184",37,2,50,0,"T4","Copper"
"185",37,2,60,6.75e+09,"T4","Copper"
"186",37,4,0,0,"T4","Copper"
"187",37,4,30,3.05e+09,"T4","Copper"
"188",37,4,40,5.3e+09,"T4","Copper"
"189",37,4,50,7.3e+09,"T4","Copper"
"190",37,4,60,9.25e+09,"T4","Copper"
"191",37,6,0,1e+08,"T4","Copper"
"192",37,6,30,3.5e+08,"T4","Copper"
"193",37,6,40,4.5e+08,"T4","Copper"
"194",37,6,50,1.05e+09,"T4","Copper"
"195",37,6,60,1.75e+09,"T4","Copper"
"196",37,8,0,0,"T4","Copper"
"197",37,8,30,0,"T4","Copper"
"198",37,8,40,0,"T4","Copper"
"199",37,8,50,0,"T4","Copper"
"200",37,8,60,1.5e+08,"T4","Copper"
"201",4,0,0,5e+05,"Phix","Plastic"
"202",4,0,30,1500000,"Phix","Plastic"
"203",4,0,40,1.2e+07,"Phix","Plastic"
"204",4,0,50,15500000,"Phix","Plastic"
"205",4,0,60,3.1e+07,"Phix","Plastic"
"206",4,2,0,5e+05,"Phix","Plastic"
"207",4,2,30,2500000,"Phix","Plastic"
"208",4,2,40,4e+06,"Phix","Plastic"
"209",4,2,50,9500000,"Phix","Plastic"
"210",4,2,60,25500000,"Phix","Plastic"
"211",4,4,0,5e+05,"Phix","Plastic"
"212",4,4,30,2e+06,"Phix","Plastic"
"213",4,4,40,6e+06,"Phix","Plastic"
"214",4,4,50,7500000,"Phix","Plastic"
"215",4,4,60,3e+07,"Phix","Plastic"
"216",4,6,0,2500000,"Phix","Plastic"
"217",4,6,30,2500000,"Phix","Plastic"
"218",4,6,40,8e+06,"Phix","Plastic"
"219",4,6,50,12500000,"Phix","Plastic"
"220",4,6,60,30500000,"Phix","Plastic"
"221",4,8,0,2e+06,"Phix","Plastic"
"222",4,8,30,2500000,"Phix","Plastic"
"223",4,8,40,10500000,"Phix","Plastic"
"224",4,8,50,28500000,"Phix","Plastic"
"225",4,8,60,47500000,"Phix","Plastic"
"226",4,0,0,1500000,"Phix","Steel"
"227",4,0,30,4e+06,"Phix","Steel"
"228",4,0,40,5500000,"Phix","Steel"
"229",4,0,50,21500000,"Phix","Steel"
"230",4,0,60,51500000,"Phix","Steel"
"231",4,2,0,1500000,"Phix","Steel"
"232",4,2,30,2e+06,"Phix","Steel"
"233",4,2,40,1.5e+07,"Phix","Steel"
"234",4,2,50,29500000,"Phix","Steel"
"235",4,2,60,33500000,"Phix","Steel"
"236",4,4,0,1e+06,"Phix","Steel"
"237",4,4,30,3500000,"Phix","Steel"
"238",4,4,40,2.7e+07,"Phix","Steel"
"239",4,4,50,4e+07,"Phix","Steel"
"240",4,4,60,45500000,"Phix","Steel"
"241",4,6,0,5500000,"Phix","Steel"
"242",4,6,30,7500000,"Phix","Steel"
"243",4,6,40,3.8e+07,"Phix","Steel"
"244",4,6,50,49500000,"Phix","Steel"
"245",4,6,60,55500000,"Phix","Steel"
"246",4,8,0,3e+06,"Phix","Steel"
"247",4,8,30,5e+06,"Phix","Steel"
"248",4,8,40,8e+06,"Phix","Steel"
"249",4,8,50,2e+07,"Phix","Steel"
"250",4,8,60,30500000,"Phix","Steel"
"251",37,0,0,1e+06,"Phix","Plastic"
"252",37,0,30,1e+06,"Phix","Plastic"
"253",37,0,40,5500000,"Phix","Plastic"
"254",37,0,50,7500000,"Phix","Plastic"
"255",37,0,60,3.1e+07,"Phix","Plastic"
"256",37,2,0,5e+05,"Phix","Plastic"
"257",37,2,30,5e+05,"Phix","Plastic"
"258",37,2,40,4e+06,"Phix","Plastic"
"259",37,2,50,6e+06,"Phix","Plastic"
"260",37,2,60,2.7e+07,"Phix","Plastic"
"261",37,4,0,2500000,"Phix","Plastic"
"262",37,4,30,5e+06,"Phix","Plastic"
"263",37,4,40,34500000,"Phix","Plastic"
"264",37,4,50,4.7e+07,"Phix","Plastic"
"265",37,4,60,5.7e+07,"Phix","Plastic"
"266",37,6,0,3500000,"Phix","Plastic"
"267",37,6,30,7e+06,"Phix","Plastic"
"268",37,6,40,1.9e+07,"Phix","Plastic"
"269",37,6,50,5.1e+07,"Phix","Plastic"
"270",37,6,60,5.6e+07,"Phix","Plastic"
"271",37,8,0,4500000,"Phix","Plastic"
"272",37,8,30,8e+06,"Phix","Plastic"
"273",37,8,40,34500000,"Phix","Plastic"
"274",37,8,50,46500000,"Phix","Plastic"
"275",37,8,60,53500000,"Phix","Plastic"
"276",37,0,0,1e+06,"Phix","Steel"
"277",37,0,30,5e+06,"Phix","Steel"
"278",37,0,40,17500000,"Phix","Steel"
"279",37,0,50,2.9e+07,"Phix","Steel"
"280",37,0,60,39500000,"Phix","Steel"
"281",37,2,0,1500000,"Phix","Steel"
"282",37,2,30,8e+06,"Phix","Steel"
"283",37,2,40,1.8e+07,"Phix","Steel"
"284",37,2,50,32500000,"Phix","Steel"
"285",37,2,60,54500000,"Phix","Steel"
"286",37,4,0,6500000,"Phix","Steel"
"287",37,4,30,8500000,"Phix","Steel"
"288",37,4,40,27500000,"Phix","Steel"
"289",37,4,50,42500000,"Phix","Steel"
"290",37,4,60,46500000,"Phix","Steel"
"291",37,6,0,2e+06,"Phix","Steel"
"292",37,6,30,2e+06,"Phix","Steel"
"293",37,6,40,1.9e+07,"Phix","Steel"
"294",37,6,50,30500000,"Phix","Steel"
"295",37,6,60,3.8e+07,"Phix","Steel"
"296",37,8,0,5e+05,"Phix","Steel"
"297",37,8,30,1500000,"Phix","Steel"
"298",37,8,40,8500000,"Phix","Steel"
"299",37,8,50,1.1e+07,"Phix","Steel"
"300",37,8,60,4.4e+07,"Phix","Steel"
"301",4,0,0,0,"T4","Plastic"
"302",4,0,30,7.45e+09,"T4","Plastic"
"303",4,0,40,1.57e+10,"T4","Plastic"
"304",4,0,50,1.9e+10,"T4","Plastic"
"305",4,0,60,3.8e+10,"T4","Plastic"
"306",4,2,0,0,"T4","Plastic"
"307",4,2,30,4.45e+09,"T4","Plastic"
"308",4,2,40,1.27e+10,"T4","Plastic"
"309",4,2,50,1.8e+10,"T4","Plastic"
"310",4,2,60,3.8e+10,"T4","Plastic"
"311",4,4,0,0,"T4","Plastic"
"312",4,4,30,4.5e+08,"T4","Plastic"
"313",4,4,40,6.25e+09,"T4","Plastic"
"314",4,4,50,8.85e+09,"T4","Plastic"
"315",4,4,60,2.73e+10,"T4","Plastic"
"316",4,6,0,0,"T4","Plastic"
"317",4,6,30,2.2e+09,"T4","Plastic"
"318",4,6,40,6.6e+09,"T4","Plastic"
"319",4,6,50,1.34e+10,"T4","Plastic"
"320",4,6,60,2.89e+10,"T4","Plastic"
"321",4,8,0,5e+07,"T4","Plastic"
"322",4,8,30,9.5e+08,"T4","Plastic"
"323",4,8,40,1.05e+09,"T4","Plastic"
"324",4,8,50,1.17e+10,"T4","Plastic"
"325",4,8,60,1.55e+10,"T4","Plastic"
"326",4,0,0,1.5e+08,"T4","Steel"
"327",4,0,30,8.5e+08,"T4","Steel"
"328",4,0,40,4.15e+09,"T4","Steel"
"329",4,0,50,9.8e+09,"T4","Steel"
"330",4,0,60,1.5e+10,"T4","Steel"
"331",4,2,0,1.5e+08,"T4","Steel"
"332",4,2,30,5.5e+08,"T4","Steel"
"333",4,2,40,2.65e+09,"T4","Steel"
"334",4,2,50,9.2e+09,"T4","Steel"
"335",4,2,60,1.39e+10,"T4","Steel"
"336",4,4,0,5e+07,"T4","Steel"
"337",4,4,30,1.45e+09,"T4","Steel"
"338",4,4,40,4.95e+09,"T4","Steel"
"339",4,4,50,1.3e+10,"T4","Steel"
"340",4,4,60,1.99e+10,"T4","Steel"
"341",4,6,0,1.5e+08,"T4","Steel"
"342",4,6,30,9.5e+08,"T4","Steel"
"343",4,6,40,3.75e+09,"T4","Steel"
"344",4,6,50,8e+09,"T4","Steel"
"345",4,6,60,1.91e+10,"T4","Steel"
"346",4,8,0,1.5e+08,"T4","Steel"
"347",4,8,30,1.3e+09,"T4","Steel"
"348",4,8,40,6.7e+09,"T4","Steel"
"349",4,8,50,8.35e+09,"T4","Steel"
"350",4,8,60,1.62e+10,"T4","Steel"
"351",37,0,0,1e+08,"T4","Plastic"
"352",37,0,30,1.1e+09,"T4","Plastic"
"353",37,0,40,5.1e+09,"T4","Plastic"
"354",37,0,50,8.8e+09,"T4","Plastic"
"355",37,0,60,1.18e+10,"T4","Plastic"
"356",37,2,0,5e+07,"T4","Plastic"
"357",37,2,30,1.5e+09,"T4","Plastic"
"358",37,2,40,5.7e+09,"T4","Plastic"
"359",37,2,50,9.4e+09,"T4","Plastic"
"360",37,2,60,1.62e+10,"T4","Plastic"
"361",37,4,0,0,"T4","Plastic"
"362",37,4,30,0,"T4","Plastic"
"363",37,4,40,0,"T4","Plastic"
"364",37,4,50,1.6e+09,"T4","Plastic"
"365",37,4,60,1.25e+10,"T4","Plastic"
"366",37,6,0,0,"T4","Plastic"
"367",37,6,30,0,"T4","Plastic"
"368",37,6,40,1.5e+08,"T4","Plastic"
"369",37,6,50,1.05e+09,"T4","Plastic"
"370",37,6,60,2.05e+10,"T4","Plastic"
"371",37,8,0,0,"T4","Plastic"
"372",37,8,30,5e+07,"T4","Plastic"
"373",37,8,40,1e+08,"T4","Plastic"
"374",37,8,50,4e+09,"T4","Plastic"
"375",37,8,60,1.62e+10,"T4","Plastic"
"376",37,0,0,2.5e+08,"T4","Steel"
"377",37,0,30,3.6e+09,"T4","Steel"
"378",37,0,40,8.4e+09,"T4","Steel"
"379",37,0,50,1.6e+10,"T4","Steel"
"380",37,0,60,2.62e+10,"T4","Steel"
"381",37,2,0,3e+08,"T4","Steel"
"382",37,2,30,5.3e+09,"T4","Steel"
"383",37,2,40,8.15e+09,"T4","Steel"
"384",37,2,50,1.79e+10,"T4","Steel"
"385",37,2,60,2.9e+10,"T4","Steel"
"386",37,4,0,0,"T4","Steel"
"387",37,4,30,1e+08,"T4","Steel"
"388",37,4,40,2.35e+09,"T4","Steel"
"389",37,4,50,4e+09,"T4","Steel"
"390",37,4,60,2.39e+10,"T4","Steel"
"391",37,6,0,1e+08,"T4","Steel"
"392",37,6,30,1e+08,"T4","Steel"
"393",37,6,40,1.1e+09,"T4","Steel"
"394",37,6,50,2.9e+09,"T4","Steel"
"395",37,6,60,2.02e+10,"T4","Steel"
"396",37,8,0,3.5e+08,"T4","Steel"
"397",37,8,30,3.45e+09,"T4","Steel"
"398",37,8,40,1e+10,"T4","Steel"
"399",37,8,50,2.98e+10,"T4","Steel"
"400",37,8,60,3.38e+10,"T4","Steel"
