"","Experiment","PhageType","Time","VirusTiter","Temperature","Surface"
"1",1,"PhiX174",0,1.61e+08,4,"Copper"
"2",1,"PhiX174",2,1.37e+08,4,"Copper"
"3",1,"PhiX174",4,9e+07,4,"Copper"
"4",1,"PhiX174",6,89500000,4,"Copper"
"5",1,"PhiX174",8,60500000,4,"Copper"
"6",2,"PhiX174",0,1.4e+08,4,"Copper"
"7",2,"PhiX174",2,1.17e+08,4,"Copper"
"8",2,"PhiX174",4,8.5e+07,4,"Copper"
"9",2,"PhiX174",6,83500000,4,"Copper"
"10",2,"PhiX174",8,5.9e+07,4,"Copper"
"11",3,"PhiX174",0,1.43e+08,4,"Copper"
"12",3,"PhiX174",2,1.19e+08,4,"Copper"
"13",3,"PhiX174",4,8.2e+07,4,"Copper"
"14",3,"PhiX174",6,71500000,4,"Copper"
"15",3,"PhiX174",8,5.5e+07,4,"Copper"
"16",1,"T4",0,1.3e+10,4,"Copper"
"17",1,"T4",2,7.55e+09,4,"Copper"
"18",1,"T4",4,5.85e+09,4,"Copper"
"19",1,"T4",6,3.5e+09,4,"Copper"
"20",1,"T4",8,2e+08,4,"Copper"
"21",2,"T4",0,1.3e+10,4,"Copper"
"22",2,"T4",2,8.45e+09,4,"Copper"
"23",2,"T4",4,6.3e+09,4,"Copper"
"24",2,"T4",6,3.95e+09,4,"Copper"
"25",2,"T4",8,3e+08,4,"Copper"
"26",3,"T4",0,1.23e+10,4,"Copper"
"27",3,"T4",2,9.15e+09,4,"Copper"
"28",3,"T4",4,5.35e+09,4,"Copper"
"29",3,"T4",6,4.4e+09,4,"Copper"
"30",3,"T4",8,4.5e+08,4,"Copper"
"31",1,"PhiX174",0,1.52e+08,4,"Steel"
"32",1,"PhiX174",2,1.23e+08,4,"Steel"
"33",1,"PhiX174",4,1.12e+08,4,"Steel"
"34",1,"PhiX174",6,1.04e+08,4,"Steel"
"35",1,"PhiX174",8,83500000,4,"Steel"
"36",2,"PhiX174",0,1.49e+08,4,"Steel"
"37",2,"PhiX174",2,1.26e+08,4,"Steel"
"38",2,"PhiX174",4,1.1e+08,4,"Steel"
"39",2,"PhiX174",6,1.08e+08,4,"Steel"
"40",2,"PhiX174",8,8.9e+07,4,"Steel"
"41",3,"PhiX174",0,1.57e+08,4,"Steel"
"42",3,"PhiX174",2,1.2e+08,4,"Steel"
"43",3,"PhiX174",4,1.13e+08,4,"Steel"
"44",3,"PhiX174",6,9.9e+07,4,"Steel"
"45",3,"PhiX174",8,83500000,4,"Steel"
"46",1,"T4",0,1.3e+10,4,"Steel"
"47",1,"T4",2,1.1e+10,4,"Steel"
"48",1,"T4",4,1.01e+10,4,"Steel"
"49",1,"T4",6,6.85e+09,4,"Steel"
"50",1,"T4",8,5.05e+09,4,"Steel"
"51",2,"T4",0,1.3e+10,4,"Steel"
"52",2,"T4",2,1.18e+10,4,"Steel"
"53",2,"T4",4,1.09e+10,4,"Steel"
"54",2,"T4",6,7.45e+09,4,"Steel"
"55",2,"T4",8,5.15e+09,4,"Steel"
"56",3,"T4",0,1.23e+10,4,"Steel"
"57",3,"T4",2,1.14e+10,4,"Steel"
"58",3,"T4",4,9.95e+09,4,"Steel"
"59",3,"T4",6,7.5e+09,4,"Steel"
"60",3,"T4",8,5.65e+09,4,"Steel"
"61",1,"PhiX174",0,1.48e+08,4,"Plastic"
"62",1,"PhiX174",2,1.18e+08,4,"Plastic"
"63",1,"PhiX174",4,1.14e+08,4,"Plastic"
"64",1,"PhiX174",6,96500000,4,"Plastic"
"65",1,"PhiX174",8,63500000,4,"Plastic"
"66",2,"PhiX174",0,1.38e+08,4,"Plastic"
"67",2,"PhiX174",2,1.21e+08,4,"Plastic"
"68",2,"PhiX174",4,1.19e+08,4,"Plastic"
"69",2,"PhiX174",6,1.03e+08,4,"Plastic"
"70",2,"PhiX174",8,68500000,4,"Plastic"
"71",3,"PhiX174",0,1.43e+08,4,"Plastic"
"72",3,"PhiX174",2,1.23e+08,4,"Plastic"
"73",3,"PhiX174",4,1.2e+08,4,"Plastic"
"74",3,"PhiX174",6,1.02e+08,4,"Plastic"
"75",3,"PhiX174",8,7.3e+07,4,"Plastic"
"76",1,"T4",0,1.3e+10,4,"Plastic"
"77",1,"T4",2,1.13e+10,4,"Plastic"
"78",1,"T4",4,8.75e+09,4,"Plastic"
"79",1,"T4",6,8.3e+09,4,"Plastic"
"80",1,"T4",8,4.9e+09,4,"Plastic"
"81",2,"T4",0,1.37e+10,4,"Plastic"
"82",2,"T4",2,1.16e+10,4,"Plastic"
"83",2,"T4",4,9.05e+09,4,"Plastic"
"84",2,"T4",6,8.3e+09,4,"Plastic"
"85",2,"T4",8,3.95e+09,4,"Plastic"
"86",3,"T4",0,1.23e+10,4,"Plastic"
"87",3,"T4",2,1.14e+10,4,"Plastic"
"88",3,"T4",4,9.7e+09,4,"Plastic"
"89",3,"T4",6,7.15e+09,4,"Plastic"
"90",3,"T4",8,4.6e+09,4,"Plastic"
"91",1,"PhiX174",0,1.63e+08,4,"Control"
"92",1,"PhiX174",2,1.64e+08,4,"Control"
"93",1,"PhiX174",4,1.6e+08,4,"Control"
"94",1,"PhiX174",6,1.58e+08,4,"Control"
"95",1,"PhiX174",8,1.65e+08,4,"Control"
"96",2,"PhiX174",0,1.81e+08,4,"Control"
"97",2,"PhiX174",2,1.67e+08,4,"Control"
"98",2,"PhiX174",4,1.61e+08,4,"Control"
"99",2,"PhiX174",6,1.71e+08,4,"Control"
"100",2,"PhiX174",8,1.62e+08,4,"Control"
"101",3,"PhiX174",0,1.77e+08,4,"Control"
"102",3,"PhiX174",2,1.64e+08,4,"Control"
"103",3,"PhiX174",4,1.57e+08,4,"Control"
"104",3,"PhiX174",6,1.63e+08,4,"Control"
"105",3,"PhiX174",8,1.58e+08,4,"Control"
"106",1,"T4",0,1.37e+10,4,"Control"
"107",1,"T4",2,1.19e+10,4,"Control"
"108",1,"T4",4,1.41e+10,4,"Control"
"109",1,"T4",6,1.29e+10,4,"Control"
"110",1,"T4",8,1.34e+10,4,"Control"
"111",2,"T4",0,1.51e+10,4,"Control"
"112",2,"T4",2,1.45e+10,4,"Control"
"113",2,"T4",4,1.35e+10,4,"Control"
"114",2,"T4",6,1.47e+10,4,"Control"
"115",2,"T4",8,1.47e+10,4,"Control"
"116",3,"T4",0,1.5e+10,4,"Control"
"117",3,"T4",2,1.64e+10,4,"Control"
"118",3,"T4",4,1.53e+10,4,"Control"
"119",3,"T4",6,1.4e+10,4,"Control"
"120",3,"T4",8,1.38e+10,4,"Control"
"121",1,"PhiX174",0,1.53e+08,37,"Copper"
"122",1,"PhiX174",2,2.4e+07,37,"Copper"
"123",1,"PhiX174",4,0,37,"Copper"
"124",1,"PhiX174",6,0,37,"Copper"
"125",1,"PhiX174",8,0,37,"Copper"
"126",2,"PhiX174",0,1.4e+08,37,"Copper"
"127",2,"PhiX174",2,24500000,37,"Copper"
"128",2,"PhiX174",4,0,37,"Copper"
"129",2,"PhiX174",6,0,37,"Copper"
"130",2,"PhiX174",8,0,37,"Copper"
"131",3,"PhiX174",0,1.42e+08,37,"Copper"
"132",3,"PhiX174",2,1.9e+07,37,"Copper"
"133",3,"PhiX174",4,0,37,"Copper"
"134",3,"PhiX174",6,0,37,"Copper"
"135",3,"PhiX174",8,0,37,"Copper"
"136",1,"T4",0,1.3e+10,37,"Copper"
"137",1,"T4",2,0,37,"Copper"
"138",1,"T4",4,0,37,"Copper"
"139",1,"T4",6,0,37,"Copper"
"140",1,"T4",8,0,37,"Copper"
"141",2,"T4",0,1.3e+10,37,"Copper"
"142",2,"T4",2,0,37,"Copper"
"143",2,"T4",4,0,37,"Copper"
"144",2,"T4",6,0,37,"Copper"
"145",2,"T4",8,0,37,"Copper"
"146",3,"T4",0,1.23e+10,37,"Copper"
"147",3,"T4",2,0,37,"Copper"
"148",3,"T4",4,0,37,"Copper"
"149",3,"T4",6,0,37,"Copper"
"150",3,"T4",8,0,37,"Copper"
"151",1,"PhiX174",0,1.41e+08,37,"Steel"
"152",1,"PhiX174",2,1.1e+08,37,"Steel"
"153",1,"PhiX174",4,9.2e+07,37,"Steel"
"154",1,"PhiX174",6,8.5e+07,37,"Steel"
"155",1,"PhiX174",8,6.7e+07,37,"Steel"
"156",2,"PhiX174",0,1.52e+08,37,"Steel"
"157",2,"PhiX174",2,1.16e+08,37,"Steel"
"158",2,"PhiX174",4,1.05e+08,37,"Steel"
"159",2,"PhiX174",6,89500000,37,"Steel"
"160",2,"PhiX174",8,79500000,37,"Steel"
"161",3,"PhiX174",0,1.54e+08,37,"Steel"
"162",3,"PhiX174",2,1.24e+08,37,"Steel"
"163",3,"PhiX174",4,1.13e+08,37,"Steel"
"164",3,"PhiX174",6,82500000,37,"Steel"
"165",3,"PhiX174",8,7.3e+07,37,"Steel"
"166",1,"T4",0,1.3e+10,37,"Steel"
"167",1,"T4",2,9.7e+09,37,"Steel"
"168",1,"T4",4,8.55e+09,37,"Steel"
"169",1,"T4",6,7.2e+09,37,"Steel"
"170",1,"T4",8,4.95e+09,37,"Steel"
"171",2,"T4",0,1.3e+10,37,"Steel"
"172",2,"T4",2,9.9e+09,37,"Steel"
"173",2,"T4",4,8.65e+09,37,"Steel"
"174",2,"T4",6,6.95e+09,37,"Steel"
"175",2,"T4",8,4.6e+09,37,"Steel"
"176",3,"T4",0,1.23e+10,37,"Steel"
"177",3,"T4",2,9.25e+09,37,"Steel"
"178",3,"T4",4,7.9e+09,37,"Steel"
"179",3,"T4",6,6.65e+09,37,"Steel"
"180",3,"T4",8,5.15e+09,37,"Steel"
"181",1,"PhiX174",0,1.45e+08,37,"Plastic"
"182",1,"PhiX174",2,92500000,37,"Plastic"
"183",1,"PhiX174",4,8.6e+07,37,"Plastic"
"184",1,"PhiX174",6,65500000,37,"Plastic"
"185",1,"PhiX174",8,38500000,37,"Plastic"
"186",2,"PhiX174",0,1.49e+08,37,"Plastic"
"187",2,"PhiX174",2,1.04e+08,37,"Plastic"
"188",2,"PhiX174",4,9.8e+07,37,"Plastic"
"189",2,"PhiX174",6,71500000,37,"Plastic"
"190",2,"PhiX174",8,6.1e+07,37,"Plastic"
"191",3,"PhiX174",0,1.53e+08,37,"Plastic"
"192",3,"PhiX174",2,1.15e+08,37,"Plastic"
"193",3,"PhiX174",4,9.4e+07,37,"Plastic"
"194",3,"PhiX174",6,82500000,37,"Plastic"
"195",3,"PhiX174",8,7.3e+07,37,"Plastic"
"196",1,"T4",0,1.3e+10,37,"Plastic"
"197",1,"T4",2,1e+10,37,"Plastic"
"198",1,"T4",4,8.3e+09,37,"Plastic"
"199",1,"T4",6,5.6e+09,37,"Plastic"
"200",1,"T4",8,3.85e+09,37,"Plastic"
"201",2,"T4",0,1.3e+10,37,"Plastic"
"202",2,"T4",2,1.17e+10,37,"Plastic"
"203",2,"T4",4,7.95e+09,37,"Plastic"
"204",2,"T4",6,5e+09,37,"Plastic"
"205",2,"T4",8,3.5e+09,37,"Plastic"
"206",3,"T4",0,1.23e+10,37,"Plastic"
"207",3,"T4",2,9.8e+09,37,"Plastic"
"208",3,"T4",4,8.05e+09,37,"Plastic"
"209",3,"T4",6,5.9e+09,37,"Plastic"
"210",3,"T4",8,4.5e+09,37,"Plastic"
"211",1,"PhiX174",0,1.79e+08,37,"Control"
"212",1,"PhiX174",2,1.77e+08,37,"Control"
"213",1,"PhiX174",4,1.49e+08,37,"Control"
"214",1,"PhiX174",6,1.3e+08,37,"Control"
"215",1,"PhiX174",8,1.19e+08,37,"Control"
"216",2,"PhiX174",0,1.76e+08,37,"Control"
"217",2,"PhiX174",2,1.61e+08,37,"Control"
"218",2,"PhiX174",4,1.53e+08,37,"Control"
"219",2,"PhiX174",6,1.26e+08,37,"Control"
"220",2,"PhiX174",8,1.24e+08,37,"Control"
"221",3,"PhiX174",0,1.84e+08,37,"Control"
"222",3,"PhiX174",2,1.82e+08,37,"Control"
"223",3,"PhiX174",4,1.48e+08,37,"Control"
"224",3,"PhiX174",6,1.28e+08,37,"Control"
"225",3,"PhiX174",8,1.25e+08,37,"Control"
"226",1,"T4",0,1.49e+10,37,"Control"
"227",1,"T4",2,1.16e+10,37,"Control"
"228",1,"T4",4,9.65e+09,37,"Control"
"229",1,"T4",6,8.3e+09,37,"Control"
"230",1,"T4",8,6.9e+09,37,"Control"
"231",2,"T4",0,1.55e+10,37,"Control"
"232",2,"T4",2,1.23e+10,37,"Control"
"233",2,"T4",4,1.02e+10,37,"Control"
"234",2,"T4",6,7.15e+09,37,"Control"
"235",2,"T4",8,6.05e+09,37,"Control"
"236",3,"T4",0,1.64e+10,37,"Control"
"237",3,"T4",2,1.11e+10,37,"Control"
"238",3,"T4",4,9.1e+09,37,"Control"
"239",3,"T4",6,7.35e+09,37,"Control"
"240",3,"T4",8,5.85e+09,37,"Control"
